Question,Answer,Category
"How do I file a claim?","To file a claim, please email us with your policy number, incident details, date and location of the incident, and any relevant documentation or photos.","Claims Process"
"What documents do I need to file a claim?","You'll need: your policy number, incident report, photos if applicable, police report (if applicable), and any repair estimates or invoices.","Documentation"
"How long does it take to process a claim?","Most claims are processed within 5-10 business days. Complex claims may take longer. You'll receive updates via email.","Claims Process"
"What is my claim status?","You can check your claim status by replying to any email from our claims department with your claim number, or call our claims hotline at 1-800-CLAIMS.","Claim Status"
"Can I track my claim online?","Yes, you can track your claim by replying to any email from our claims department. Include your claim number and we'll provide the current status.","Claim Status"
"What should I do after an accident?","After an accident: 1) Ensure safety, 2) Call police if needed, 3) Document the scene with photos, 4) Get contact information from other parties, 5) File a claim with us as soon as possible.","Claims Process"
"Do I need to pay a deductible?","Your deductible depends on your policy. Check your policy documents or contact us with your policy number for specific deductible information.","Policy Information"
"What types of claims are covered?","Coverage depends on your specific policy. Common covered claims include: auto accidents, property damage, theft, fire, water damage, and liability claims. Contact us with your policy number for specific coverage details.","Policy Information"
"How do I update my contact information?","To update your contact information, reply to this email with your policy number and the updated information, or call our customer service line.","Account Management"
"What if I disagree with the claim decision?","If you disagree with a claim decision, you can appeal by replying to the decision email with your concerns and any additional documentation. Our review team will re-evaluate your claim.","Claims Process"
"Help me find my policy number","We look up your policy number from your account. Reply from the email address we have on file and we will send your policy number(s). If you have multiple policies, we will list them.","Policy Information"
"When is my policy expiring?","We will look up your policy and tell you the expiration date. Please email us from the address we have on file, or include your policy number.","Policy Information"
"Is engine protection included in my policy?","We check your policy coverages from our records. Email us from the address on file (or include your policy number) and ask about a specific coverage (e.g. engine protection, rental, towing); we will confirm if it is included.","Policy Information"
"What is my deductible?","Your deductible is on your policy. We will look it up and reply with the amount when you email us from the email we have on file, or include your policy number.","Policy Information"
